Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Tufty Mann "," 						  33.10 					"," 						  1.98 					"," 						  99.9 					","25.33143"
"Percy Mansell "," 						  66.90 					"," 						  2.93 					"," 						  136.9 					","59.856545"
"Fish Markham "," 						  72.00 					"," 						  4.15 					"," 						  104.0 					","64.806"
"Eric Marx "," 						  36.00 					"," 						  3.78 					"," 						  57.0 					","28.242"
"Craig Matthews "," 						  28.88 					"," 						  2.26 					"," 						  76.5 					","21.2219866667"
"Cuan McCarthy "," 						  41.94 					"," 						  2.58 					"," 						  97.1 					","33.329718"
"Atholl McKinnon "," 						  35.57 					"," 						  2.17 					"," 						  97.9 					","27.4736751667"
"Brian McMillan "," 						  33.82 					"," 						  2.51 					"," 						  80.6 					","25.6225956667"
"Quintin McMillan "," 						  34.52 					"," 						  3.69 					"," 						  56.1 					","26.837574"
"Doug Meintjes "," 						  19.16 					"," 						  2.80 					"," 						  41.0 					","13.3225866667"
"Michael Melle "," 						  32.73 					"," 						  3.06 					"," 						  64.1 					","24.766791"
"Bonnor Middleton "," 						  18.41 					"," 						  2.49 					"," 						  44.3 					","12.5896785"
"Charles Mills "," 						  41.50 					"," 						  3.55 					"," 						  70.0 					","33.0789583333"
"William Milton "," 						  24.00 					"," 						  3.64 					"," 						  39.5 					","17.792"
"Bruce Mitchell "," 						  51.11 					"," 						  3.27 					"," 						  93.5 					","42.3063025"
"Denys Morkel "," 						  45.61 					"," 						  2.89 					"," 						  94.6 					","36.8429978333"
"Albie Morkel "," 						  132.00 					"," 						  4.12 					"," 						  192.0 					","141.812"
"Anton Murray "," 						  39.44 					"," 						  1.79 					"," 						  131.8 					","32.2625773333"
"Ryan McLaren "," 						  54.00 					"," 						  3.68 					"," 						  88.0 					","45.396"
"Morne Morkel "," 						  27.73 					"," 						  3.11 					"," 						  53.4 					","20.4707481667"
"Andre Nel "," 						  31.86 					"," 						  3.08 					"," 						  62.0 					","24.01182"
"Claude Newberry "," 						  24.36 					"," 						  2.88 					"," 						  50.7 					","17.524584"
