Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Greg Blewett "," 						  51.42 					"," 						  3.00 					"," 						  102.5 					","42.6786"
"George Bonnor "," 						  42.00 					"," 						  3.07 					"," 						  82.0 					","33.3095"
"Brian Booth "," 						  48.66 					"," 						  2.00 					"," 						  145.3 					","41.714596"
"Allan Border "," 						  39.10 					"," 						  2.28 					"," 						  102.7 					","30.82644"
"Harry Boyle "," 						  20.03 					"," 						  2.20 					"," 						  54.4 					","13.7632806667"
"Nathan Bracken "," 						  42.08 					"," 						  2.72 					"," 						  92.5 					","33.3974933333"
"Sir Donald Bradman "," 						  36.00 					"," 						  2.70 					"," 						  80.0 					","27.63"
"Ray Bright "," 						  41.13 					"," 						  2.36 					"," 						  104.5 					","32.7669"
"William Bruce "," 						  36.66 					"," 						  2.67 					"," 						  82.3 					","28.241031"
"Jim Burke "," 						  28.75 					"," 						  1.69 					"," 						  101.7 					","21.6195208333"
"Joe Mennie "," 						  85.00 					"," 						  3.03 					"," 						  168.0 					","81.83375"
"Doug Bollinger "," 						  25.92 					"," 						  3.23 					"," 						  48.0 					","19.03608"
"Sydney Callaway "," 						  23.66 					"," 						  1.80 					"," 						  78.5 					","16.84592"
"Ian Callen "," 						  31.83 					"," 						  2.60 					"," 						  73.3 					","23.817328"
"Greg Campbell "," 						  38.69 					"," 						  3.17 					"," 						  73.1 					","30.2214038333"
"Phil Carlson "," 						  49.50 					"," 						  1.61 					"," 						  184.0 					","45.139875"
"Greg Chappell "," 						  40.70 					"," 						  2.15 					"," 						  113.3 					","32.6420783333"
"Ian Chappell "," 						  65.80 					"," 						  2.74 					"," 						  143.6 					","59.0247933333"
"Percie Charlton "," 						  8.00 					"," 						  3.20 					"," 						  15.0 					","5.33333333333"
"Arthur Chipperfield "," 						  87.40 					"," 						  2.83 					"," 						  184.8 					","86.0613233333"
"Michael Clarke "," 						  38.19 					"," 						  2.91 					"," 						  78.5 					","29.6640825"
"Stuart Clark "," 						  23.86 					"," 						  2.61 					"," 						  54.7 					","16.979969"
"Wayne Clark "," 						  28.75 					"," 						  2.71 					"," 						  63.4 					","21.1278958333"
"David Colley "," 						  52.00 					"," 						  2.56 					"," 						  121.5 					","43.8013333333"
"Herbie Collins "," 						  63.00 					"," 						  2.31 					"," 						  163.5 					","57.44025"
